"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(50, 20)","(52, 43)","(67, 51)","(92, 46)","(90, 21)","(73, 14)",
"(54, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(50, 20)","(52, 43)","(67, 51)","(92, 46)","(90, 21)","(73, 14)",
"(54, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(50, 20)","(52, 43)","(67, 51)","(92, 46)","(90, 21)","(73, 14)",
"(54, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(50, 20)","(52, 43)","(67, 51)","(93, 44)","(90, 21)","(73, 14)",
"(54, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(90, 21)","(73, 14)",
"(50, 20)","(52, 43)","(67, 51)","(93, 44)","(89, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(89, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(89, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(90, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(90, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(90, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(90, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(89, 21)","(74, 14)",
"(50, 20)","(51, 41)","(67, 51)","(93, 44)","(89, 21)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(89, 21)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(89, 21)","(74, 14)",
"(50, 20)","(52, 43)","(67, 51)","(92, 46)","(89, 21)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(89, 21)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(91, 22)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(91, 22)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(91, 22)","(74, 14)",
"(50, 20)","(53, 43)","(67, 51)","(92, 46)","(91, 22)","(74, 14)",
"(50, 20)","(52, 43)","(67, 51)","(92, 46)","(91, 22)","(74, 14)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(68, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(67, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(68, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(68, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(68, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(52, 18)","(54, 44)","(68, 51)","(93, 44)","(90, 22)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(90, 22)","(75, 14)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(69, 17)","(89, 27)","(88, 43)","(70, 48)","(53, 39)",
"(50, 20)","(54, 44)","(68, 51)","(93, 44)","(91, 23)","(74, 13)",
"(53, 23)","(68, 17)","(89, 27)","(88, 43)","(71, 48)","(53, 37)",
"(53, 23)","(68, 17)","(89, 27)","(88, 43)","(71, 48)","(53, 37)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(64, 46)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(50, 40)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
"(53, 23)","(69, 17)","(86, 23)","(88, 43)","(73, 48)","(53, 38)",
"(73, 13)","(50, 20)","(51, 42)","(68, 51)","(93, 44)","(91, 23)",
