Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:27,222s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:27,223s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:27,224s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:27,225s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:27,226s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:27,228s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:27,229s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:27,230s,1,0,0,0.0
